x	t	f1	f1A	f2	f2A
-50	5	0	0	0	0
-49.5	5	0	0	0	0
-49	5	0	0	0	0
-48.5	5	0	0	0	0
-48	5	0	0	0	0
-47.5	5	0	0	0	0
-47	5	0	0	0	0
-46.5	5	0	0	0	0
-46	5	0	0	0	0
-45.5	5	0	0	0	0
-45	5	0	0	0	0
-44.5	5	0	0	0	0
-44	5	0	0	0	0
-43.5	5	0	0	0	0
-43	5	0	0	0	0
-42.5	5	0	0	0	0
-42	5	0	0	0	0
-41.5	5	0	0	0	0
-41	5	0	0	0	0
-40.5	5	0	0	0	0
-40	5	0	0	0	0
-39.5	5	0	0	0	0
-39	5	0	0	0	0
-38.5	5	0	0	0	0
-38	5	0	0	0	0
-37.5	5	0	0	0	0
-37	5	0	0	0	0
-36.5	5	0	0	0	0
-36	5	0	0	0	0
-35.5	5	0	0	0	0
-35	5	0	0	0	0
-34.5	5	0	0	0	0
-34	5	0	0	0	0
-33.5	5	0	0	0	0
-33	5	0	0	0	0
-32.5	5	0	0	0	0
-32	5	0	0	0	0
-31.5	5	0	0	0	0
-31	5	0	0	0	0
-30.5	5	0	0	0	0
-30	5	0	0	0	0
-29.5	5	0	0	0	0
-29	5	0	0	0	0
-28.5	5	0	0	0	0
-28	5	0	0	0	0
-27.5	5	0	0	0	0
-27	5	0	0	0	0
-26.5	5	0	0	3.45846e-323	0
-26	5	0	0	9.0613e-312	0
-25.5	5	0	0	1.38125e-300	0
-25	5	0	0	1.27705e-289	0
-24.5	5	0	0	7.16139e-279	0
-24	5	0	0	2.43578e-268	0
-23.5	5	0	0	5.02496e-258	0
-23	5	0	0	6.28752e-248	0
-22.5	5	0	0	4.77176e-238	0
-22	5	0	0	2.1965e-228	0
-21.5	5	0	0	6.13248e-219	0
-21	5	0	0	1.03847e-209	0
-20.5	5	0	0	1.06661e-200	0
-20	5	0	0	6.64458e-192	0
-19.5	5	0	0	2.51064e-183	0
-19	5	0	0	5.75377e-175	0
-18.5	5	0	0	7.99787e-167	3.02173e-313
-18	5	0	0	6.74293e-159	1.03801e-301
-17.5	5	0	0	3.44807e-151	2.16273e-290
-17	5	0	0	1.06944e-143	2.7331e-279
-16.5	5	0	0	2.01183e-136	2.09489e-268
-16	5	0	0	2.2955e-129	9.73912e-258
-15.5	5	0	0	1.58862e-122	2.74619e-247
-15	5	0	0	6.66831e-116	4.69672e-237
-14.5	5	0	0	1.69773e-109	4.87204e-227
-14	5	0	0	2.62168e-103	3.06535e-217
-13.5	5	0	0	2.45557e-97	1.16977e-207
-13	5	0	0	1.39507e-91	2.70755e-198
-12.5	5	0	0	4.80745e-86	3.80106e-189
-12	5	0	0	1.00492e-80	3.23657e-180
-11.5	5	0	0	1.2743e-75	1.67154e-171
-11	5	0	0	9.80345e-71	5.23605e-163
-10.5	5	0	0	4.57648e-66	9.94814e-155
-10	5	0	0	1.29674e-61	1.14639e-146
-9.5	5	0	0	2.23123e-57	8.01267e-139
-9	5	0	0	2.33316e-53	3.39683e-131
-8.5	5	0	0	1.48455e-49	8.73422e-124
-8	5	0	0	5.75962e-46	1.36215e-116
-7.5	5	0	0	1.36703e-42	1.28849e-109
-7	5	0	0	1.99551e-39	7.39246e-103
-6.5	5	0	0	1.80646e-36	2.57247e-96
-6	5	0	0	1.02704e-33	5.42954e-90
-5.5	5	0	0	3.73509e-31	6.95071e-84
-5	5	0	0	8.90882e-29	5.39695e-78
-4.5	5	0	0	1.43785e-26	2.54167e-72
-4	5	0	0	1.62671e-24	7.26013e-67
-3.5	5	0	0	1.33724e-22	1.25783e-61
-3	5	0	0	8.25914e-21	1.32176e-56
-2.5	5	0	0	3.94604e-19	8.42431e-52
-2	5	0	0	1.49463e-17	3.25664e-47
-1.5	5	0	0	4.57937e-16	7.63586e-43
-1	5	0	0	1.15369e-14	1.08592e-38
-0.5	5	0	0	2.42172e-13	9.36683e-35
0	5	3.46945e-18	0	4.2807e-12	4.90049e-31
0.5	5	4.68375e-16	0	6.42574e-11	1.55503e-27
1	5	3.00003e-14	0	8.24538e-10	2.99289e-24
1.5	5	1.2122e-12	0	9.08986e-09	3.49378e-21
2	5	3.4653e-11	0	8.64058e-08	2.47373e-18
2.5	5	7.44981e-10	0	7.09916e-07	1.06234e-15
3	5	1.24977e-08	0	5.0476e-06	2.76711e-13
3.5	5	1.67543e-07	0	3.10621e-05	4.37162e-11
4	5	1.8232e-06	0	0.000165277	4.189e-09
4.5	5	1.62682e-05	0	0.000758753	2.43462e-07
5	5	0.000119735	0	0.00299529	8.58234e-06
5.5	5	0.000728778	0	0.0101201	0.000183499
6	5	0.003667	0	0.0290821	0.00237965
6.5	5	0.0152072	0	0.0705168	0.0187174
7	5	0.051689	0	0.142823	0.0892956
7.5	5	0.142894	0	0.238595	0.258385
8	5	0.318462	0	0.323662	0.45348
8.5	5	0.568202	1	0.349717	0.482727
9	5	0.81356	1	0.293979	0.311672
9.5	5	0.960452	1	0.186919	0.122053
10	5	1	1	0.0870092	0.02899
10.5	5	1	1	0.0286143	0.00417641
11	5	1	1	0.00641492	0.000364931
11.5	5	1	1	0.000949142	1.93406e-05
12	5	1	1	9.02657e-05	6.21703e-07
12.5	5	1	1	5.40996e-06	1.21213e-08
13	5	1	1	2.01544e-07	1.4334e-10
13.5	5	1	1	4.62476e-09	1.02811e-12
14	5	1	1	6.49842e-11	4.47261e-15
14.5	5	1	1	5.57094e-13	1.18015e-17
15	5	1	1	2.9071e-15	1.88872e-20
15.5	5	1	1	9.22136e-18	1.83337e-23
16	5	1	1	1.77648e-20	1.0794e-26
16.5	5	1	1	2.07745e-23	3.85453e-30
17	5	1	1	1.47423e-26	8.34857e-34
17.5	5	1	1	6.34723e-30	1.09674e-37
18	5	1	1	1.65781e-33	8.73878e-42
18.5	5	1	1	2.62654e-37	4.22327e-46
19	5	1	1	2.52415e-41	1.23794e-50
19.5	5	1	1	1.47135e-45	2.20092e-55
20	5	1	1	5.20214e-50	2.37335e-60
20.5	5	1	1	1.11559e-54	1.55228e-65
21	5	1	1	1.45107e-59	6.15791e-71
21.5	5	1	1	1.14478e-64	1.48166e-76
22	5	1	1	5.47789e-70	2.1623e-82
22.5	5	1	1	1.58986e-75	1.91398e-88
23	5	1	1	2.79869e-81	1.02757e-94
23.5	5	1	1	2.98817e-87	3.34608e-101
24	5	1	1	1.93512e-93	6.6087e-108
24.5	5	1	1	7.6009e-100	7.91676e-115
25	5	1	1	1.81081e-106	5.75217e-122
25.5	5	1	1	2.61659e-113	2.53495e-129
26	5	1	1	2.29324e-120	6.77578e-137
26.5	5	1	1	1.21904e-127	1.0985e-144
27	5	1	1	3.93041e-135	1.08018e-152
27.5	5	1	1	7.68619e-143	6.44237e-161
28	5	1	1	9.11668e-151	2.33049e-169
28.5	5	1	1	6.55866e-159	5.11329e-178
29	5	1	1	2.86185e-167	6.80467e-187
29.5	5	1	1	7.57409e-176	5.49245e-196
30	5	1	1	1.21581e-184	2.68892e-205
30.5	5	1	1	1.18374e-193	7.98442e-215
31	5	1	1	6.99035e-203	1.43801e-224
31.5	5	1	1	2.50377e-212	1.57084e-234
32	5	1	1	5.43928e-222	1.04077e-244
32.5	5	1	1	7.16708e-232	4.18244e-255
33	5	1	1	5.7279e-242	1.01943e-265
33.5	5	1	1	2.77652e-252	1.50709e-276
34	5	1	1	8.1632e-263	1.35137e-287
34.5	5	1	1	1.4557e-273	7.34955e-299
